Gymnodinium name	Correct Name or Reason for Rejecting	Reference
Gymnodinium tripos var. ponctic	Erroneously formed name, Ceratium tripos var. ponticum Jorgensen	
Gymnodinium trochoideum Stein	Erroneously formed name, Glenodinium trochoideum Stein	
Gymnodinium tylota	Woloszynskia tylota (Mapletoft et al.) Bibby and Dodge 1972	[12]
Gymnodinium tylotum Mapletoft et al. 1966	Woloszynskia tylota (Mapletoft et al.) Bibby and Dodge 1972	[317]
Gymnodinium uncatenum (Hulburt) Hallegraeff 2002	Levanderina fissa (Levander) Moestrup, Hakanen, Hansen, Daugbjerg & Ellegaard 2014	Moestrup et al. 2014
Gymnodinium undulans	Erroneously formed name, Gyrodinium undulans Hulburt	
Gymnodinium undulatum Wołoszynska 1925	Woloszynskia pascheri (Suchlandt) von Stosch 1973	[12]
Gymnodinium vation	Not code compliant	
Gymnodinium veneficum Stein 1878	Karlodinium veneficum (Ballantine) Larsen 2000	[7]
Gymnodinium veneficum Ballantine 1956	Karlodinium veneficum (Ballantine) Larsen 2000	[7]
Gymnodinium veris E. Lindemann 1925	Woloszynskia pascheri (Suchlandt) von Stosch 1973	[12]
Gymnodinium vertebralis	Rejected by Silva as nomen nudum	ucjeps.berkeley.edu
Gymnodinium vinugo	Karlodinium vitiligo (Ballantine) Larsen 2000	[7]
Gymnodinium virescens Wood 1963	Not code compliant	
Gymnodinium viride Schütt 1895	Gyrodinium viride Kofoid & Swezy 1921	[19]
Gymnodinium viridis Lebour 1917	Spatulodinium pseudonoctiluca (Pouchet) Cachon and Cachon 1969	[316]
Gymnodinium vitiligo Ballantine 1956	Karlodinium vitiligo (Ballantine) Larsen 2000	[7]
Gymnodinium vorax Massart	Rejected by Silva as nomen nudum	[334]
Gymnodinium vorticella Stein	Katodinium vorticellum (Stein) Loeblich 1965	[310]
Gymnodinium wigrense Wołoszynska 1925	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[12,306]
Gymnodinium Wołoszynskae Pascher	Woloszynskia pascheri (Suchlandt) von Stosch 1973	[12]
Gymnodium pigmentosum	Aureodinium pigmentosum Dodge 1967	[328]
