Identifier	ScientificName	Parent TaxonID	TaxonRank	TaxonomicStatus	scientificNameAuthorship	namePublishedInYear	Name According To	taxonRemarks	nomenclaturalStatus
T348	Katodinium intermedium	T105	species	homotypic synonym	Christen	1959			
T106	Gymnodinium hiroshimaensis	T161	species		Hada	1968			
T349	Gymnodinium hiroshimaense	T106	species	lexical variant					
T107	Gymnodinium huber-pestalozzii	T161	species		Schiller	1957			
T350	Gymnodinium austriacum	T029	species	chresonym	Huber-Pestalozzi				
T108	Gymnodinium hulburtii	T161	species		Campbell	1973			
T109	Gymnodinium impatiens	T161	species		Skuja	1964			
T110	Gymnodinium impudicum 	T161	species		(Fraga & Bravo) Hansen & Moestrup	2000			
T111	Gymnodinium incertum	T161	species		Herdman	1924			
T112	Gymnodinium incisum	T161	species		Kofoid & Swezy	1921			
T113	Gymnodinium incoloratum	T161	species		Conrad & Kufferath	1954			
T114	Gymnodinium inconstans	T161	species		van Meel	1969			
T115	Gymnodinium indicum 	T161	species		Shyam & Sarma	1974			
T116	Gymnodinium inerme	T161	species		(Schmarda) Saville-Kent	1880/81			
T117	Gymnodinium instriatum 	T287	species	synonym	(Freudenthal & Lee) Coats	2002			
T118	Gymnodinium intercalaris	T161	species		Bursa	1961			
T351	Gymnodinium intercalare	T118	species	lexical variant					
T119	Gymnodinium irregulare	T161	species		Hope	1954			
T120	Gymnodinium japonicum	T161	species		Hada	1974			
T352	Gymnodinium japonica	T120	species	lexical variant					
T353	Gymnodinium japonica var. throndseni	T120	variety		Konovalova				
T121	Gymnodinium katodiniforme	T161	species		Elbrächter & Schnepf	1979			
T296	Gymnodinium klebsi	T161	species		Lindemann	1928			
T354	Hypnodinium sphaericum	T296	species		Klebs	1912			
T122	Gymnodinium knollii	T161	species		Schiller	1957			
T123	Gymnodinium kowalevskii	T161	species		Pitzik	1967			
T355	Gymnodinium koyalevskii	T123	species	lexical variant					
T124	Gymnodinium kujavense	T161	species		Liebetanz	1925			
T125	Gymnodinium lachmanni	T161	species		Saville-Kent	1880/81			
T126	Gymnodinium lackeyi	T161	species		(Lackey) Kiselev	1954			
T356	Gymnodinium limneticum	T126	species	heterotypic synonym	Lackey	1936			
T127	Gymnodinium lacustre	T161	species		Schiller	1933			
T357	Gymnodinium profundum	T127	species	heterotypic synonym	Schiller	1933			
T128	Gymnodinium lalitae	T161	species		Sarma & Shyam	1974			
T129	Gymnodinium lanskoi	T161	species		Rouchijanen	1968			
T130	Gymnodinium lantzschii 	T161	species		Utermöhl	1925			
T358	Gymnodinium minimum	T130	species	heterotypic synonym	Lantzsch	1914			
T359	Glenodinium minimum	T130	species	heterotypic synonym	(Lantzsch) Bachmann	1924			
T340	Gymnodinium alubulum	T159	species	lexical variant					
T341	Gymnodinium lantzschii var. rhinophoron	T130	variety	heterotypic synonym	Javornický	1957			
T342	Gymnodinium macronucleum	T130	species	heterotypic synonym	Litvinenko	1963			
T343	Gymnodinium rhinophoron	T130	species	heterotypic synonym	(Javornický) Litvinenko	1977			
T131	Gymnodinium latum	T161	species		Skuja	1948			
T344	Gymnodinium alsiophyllum	T131	species	heterotypic synonym	Skuja	1964			
T132	Gymnodinium lazulum	T161	species		Hulburt	1957			
T133	Gymnodinium legiconveniens	T161	species		Schiller	1957			
T134	Gymnodinium leptum	T161	species		Norris	1961			
T135	Gymnodinium limitatum	T161	species		Skuja	1956			
T136	Gymnodinium lineatum	T161	species		Kofoid & Swezy	1921			
T137	Gymnodinium lineopunicum	T161	species		Kofoid & Swezy	1921			
T138	Gymnodinium lira	T161	species		Kofoid & Swezy	1921			
T139	Gymnodinium litoralis	T161	species		Reñé	2011			
T345	Gymnodinium litorale	T139	species	lexical variant					
T140	Gymnodinium lobularis	T161	species		Campbell	1973			
T141	Gymnodinium lucidum	T161	species		Ballantine	1964			
T142	Gymnodinium campaniforme	T161	species						
T143	Gymnodinium viride	T161	species		Penard				
T144	Gymnodinium autumnale	T029	species	synonym					
T145	Gymnodinium tridentatum	T029	species	synonym					
T146	Gymnodinium titubens	T029	species	synonym					
T147	Gymnodinium cruciatum	T029	species	synonym					
T148	Gymnodinium translucens	T043	species	synonym	Campbell				
T149	Gymnodinium saginatum	T052	species	synonym					
T150	Gymnodinium pulvisulcus	T054	species	heterotypic synonym	Klebs	1912			
T151	Gymnodinium viridis	T056	species	heterotypic synonym	Lebour	1917			
T152	Gymnodinium abbreviatum	T096	species	heterotypic synonym	Kofoid & Swezy	1921			
T153	Gymnodinium roseum	T096	species	heterotypic synonym	Lohmann	1908			
T154	Massartia hiemalis	T105	species	synonym					
T155	Gymnodinium sp.	T106	species	synonym	Hada	1967	"Hada Y (1967) Protozoan plankton of the inland sea, Setonaikai. I – the Mastigophora. Bulletin of the Suzugamine Women’s College. Natural Science 13: 1-26."		
T156	Gyrodinium impudicum	T110	species	homotypic synonym	Fraga & Bravo	1995			
T157	Peridinium inerme	T116	species	homotypic synonym	Schmarda	1854			
T158	Gyrodinium instriatum	T117	species	synonym					
T159	Gymnodinium albulum	T130	species	heterotypic synonym	Lindemann	1928			
